model,profile,condition,ceiling,n,says_provable,arm5_pass,violation,violation_resolved,unknown_id,calibration_gap
deepseek,p1_flow,instrumented,0.0103,271,0.0111,0.0,0.0111,0.0205,0.4613,0.0111
deepseek,p2_dpi,instrumented,0.0825,271,0.0443,0.2214,0.0185,0.0068,0.4576,-0.1771
deepseek,p3_historian,instrumented,0.1031,271,0.1144,0.1734,0.0849,0.0839,0.4723,-0.059
deepseek,p4_host,instrumented,0.4433,271,0.2399,0.3395,0.1107,0.0523,0.4354,-0.0996
deepseek,p5_controller,instrumented,0.8763,271,0.3727,0.3801,0.2066,0.0616,0.4613,-0.0074
deepseek,p5b_controller_strict,instrumented,0.4536,271,0.2878,0.3173,0.1697,0.0775,0.476,-0.0295
gemma,p1_flow,instrumented,0.0103,271,0.1513,0.0,0.1513,0.1962,0.2288,0.1513
gemma,p2_dpi,instrumented,0.0825,271,0.4945,0.0443,0.4539,0.4455,0.2214,0.4502
gemma,p3_historian,instrumented,0.1031,271,0.6827,0.0295,0.6531,0.731,0.2731,0.6531
gemma,p4_host,instrumented,0.4433,271,0.6199,0.2804,0.3801,0.3655,0.2731,0.3395
gemma,p5_controller,instrumented,0.8763,271,0.7675,0.572,0.321,0.1762,0.2878,0.1956
gemma,p5b_controller_strict,instrumented,0.4536,271,0.6605,0.2841,0.4244,0.3505,0.2841,0.3764
qwen,p1_flow,instrumented,0.0103,271,0.1218,0.0,0.1218,0.0714,0.5867,0.1218
qwen,p2_dpi,instrumented,0.0825,271,0.203,0.0,0.203,0.1698,0.6089,0.203
qwen,p3_historian,instrumented,0.1031,271,0.4059,0.0,0.4059,0.3984,0.5277,0.4059
qwen,p4_host,instrumented,0.4433,271,0.3173,0.3063,0.2362,0.1,0.631,0.0111
qwen,p5_controller,instrumented,0.8763,271,0.4797,0.3727,0.3026,0.0625,0.5867,0.107
qwen,p5b_controller_strict,instrumented,0.4536,271,0.369,0.3875,0.2362,0.0985,0.5129,-0.0185
deepseek,p1_flow,bare,0.0103,271,0.6199,0.0,0.6199,0.6154,0.4723,0.6199
deepseek,p2_dpi,bare,0.0825,271,0.6199,0.155,0.5166,0.4196,0.4723,0.4649
deepseek,p3_historian,bare,0.1031,271,0.6199,0.155,0.5166,0.4196,0.4723,0.4649
deepseek,p4_host,bare,0.4433,271,0.6199,0.3063,0.4428,0.2797,0.4723,0.3137
deepseek,p5_controller,bare,0.8763,271,0.6199,0.3579,0.4022,0.2028,0.4723,0.262
deepseek,p5b_controller_strict,bare,0.4536,271,0.6199,0.3063,0.4428,0.2797,0.4723,0.3137
gemma,p1_flow,bare,0.0103,271,0.8598,0.0,0.8598,0.9219,0.2915,0.8598
gemma,p2_dpi,bare,0.0825,271,0.8598,0.0295,0.8303,0.8802,0.2915,0.8303
gemma,p3_historian,bare,0.1031,271,0.8598,0.0295,0.8303,0.8802,0.2915,0.8303
gemma,p4_host,bare,0.4433,271,0.8598,0.2804,0.5904,0.5417,0.2915,0.5793
gemma,p5_controller,bare,0.8763,271,0.8598,0.583,0.3137,0.151,0.2915,0.2768
gemma,p5b_controller_strict,bare,0.4536,271,0.8598,0.2804,0.5904,0.5417,0.2915,0.5793
qwen,p1_flow,bare,0.0103,271,0.8524,0.0,0.8524,0.8842,0.6494,0.8524
qwen,p2_dpi,bare,0.0825,271,0.8524,0.0037,0.8487,0.8737,0.6494,0.8487
qwen,p3_historian,bare,0.1031,271,0.8524,0.0037,0.8487,0.8737,0.6494,0.8487
qwen,p4_host,bare,0.4433,271,0.8524,0.3173,0.572,0.0842,0.6494,0.5351
qwen,p5_controller,bare,0.8763,271,0.8524,0.3358,0.5572,0.0421,0.6494,0.5166
qwen,p5b_controller_strict,bare,0.4536,271,0.8524,0.3173,0.572,0.0842,0.6494,0.5351
