item,actor,gold_id,gold_name,gold_checkable,name_leak,claimed_id,attribution_correct,model_says_provable,n_cited,arm4_grounding_pass,arm5_capacity_pass,arm5_outcome,capacity_violation,missed_by_grounding,missing,condition,model
P001,FrostyGoop Incident,T0836,Modify Parameter,True,True,T0855,False,False,3,True,False,unknown-technique,False,False,,instrumented,deepseek-v4-flash
P002,FrostyGoop Incident,T1693.001,System Firmware,True,True,T0857,False,True,3,True,False,unknown-technique,True,True,,instrumented,deepseek-v4-flash
P003,FrostyGoop Incident,T0829,Loss of View,False,False,T0857,False,True,1,True,False,unknown-technique,True,True,,instrumented,deepseek-v4-flash
P004,FrostyGoop Incident,T0826,Loss of Availability,False,False,T0855,False,False,0,True,False,unknown-technique,False,False,,instrumented,deepseek-v4-flash
P005,Triton Safety Instrumented System Attack,T0830,Adversary-in-the-Middle,True,False,T0856,False,False,2,True,False,unknown-technique,False,False,,instrumented,deepseek-v4-flash
P006,Triton Safety Instrumented System Attack,T0807,Command-Line Interface,True,False,T0869,False,False,3,True,True,pass,False,False,,instrumented,deepseek-v4-flash
P007,Triton Safety Instrumented System Attack,T0853,Scripting,True,False,T0859,False,False,2,True,True,pass,False,False,,instrumented,deepseek-v4-flash
P008,Triton Safety Instrumented System Attack,T0828,Loss of Productivity and Revenue,False,False,T0803,False,False,0,True,False,unknown-technique,False,False,,instrumented,deepseek-v4-flash
P009,Triton Safety Instrumented System Attack,T0843.003,Program Append,True,True,T0831,False,True,3,True,False,undefined,True,True,,instrumented,deepseek-v4-flash
P010,Triton Safety Instrumented System Attack,T0872,Indicator Removal on Host,True,False,T0855,False,False,0,True,False,unknown-technique,False,False,,instrumented,deepseek-v4-flash
P011,Triton Safety Instrumented System Attack,T0859,Valid Accounts,True,False,T0859,True,True,3,True,True,pass,False,False,,instrumented,deepseek-v4-flash
P012,Triton Safety Instrumented System Attack,T0867,Lateral Tool Transfer,True,False,T0859,False,False,2,True,True,pass,False,False,,instrumented,deepseek-v4-flash
P013,Triton Safety Instrumented System Attack,T0886,Remote Services,True,True,T0869,False,True,5,True,True,pass,False,False,,instrumented,deepseek-v4-flash
P014,2015 Ukraine Electric Power Attack,T0822,External Remote Services,True,False,T0859,False,True,3,True,True,pass,False,False,,instrumented,deepseek-v4-flash
P015,2015 Ukraine Electric Power Attack,T0884,Connection Proxy,True,False,T0859,False,False,2,True,True,pass,False,False,,instrumented,deepseek-v4-flash
P016,2015 Ukraine Electric Power Attack,T0859,Valid Accounts,True,True,T0859,True,True,3,True,True,pass,False,False,,instrumented,deepseek-v4-flash
P017,2015 Ukraine Electric Power Attack,T0886,Remote Services,True,False,T0855,False,False,3,True,False,unknown-technique,False,False,,instrumented,deepseek-v4-flash
P018,2015 Ukraine Electric Power Attack,T0828,Loss of Productivity and Revenue,False,False,T0826,False,False,0,True,False,undefined,False,False,,instrumented,deepseek-v4-flash
P019,2015 Ukraine Electric Power Attack,T0831,Manipulation of Control,False,False,T0826,False,False,3,True,False,undefined,False,False,,instrumented,deepseek-v4-flash
P020,2015 Ukraine Electric Power Attack,T1693.001,System Firmware,True,True,T0857,False,True,1,True,False,unknown-technique,True,True,,instrumented,deepseek-v4-flash
P021,2015 Ukraine Electric Power Attack,T0885,Commonly Used Port,True,False,T0869,False,True,2,True,True,pass,False,False,,instrumented,deepseek-v4-flash
P022,2015 Ukraine Electric Power Attack,T1695.001,Serial COM,True,True,T0857,False,True,1,True,False,unknown-technique,True,True,,instrumented,deepseek-v4-flash
P023,2015 Ukraine Electric Power Attack,T0814,Denial of Service,True,True,T0857,False,True,1,True,False,unknown-technique,True,True,,instrumented,deepseek-v4-flash
P024,2015 Ukraine Electric Power Attack,T0867,Lateral Tool Transfer,True,False,T0859,False,False,2,True,True,pass,False,False,,instrumented,deepseek-v4-flash
P025,2015 Ukraine Electric Power Attack,T0816,Device Restart/Shutdown,True,False,T0882,False,False,0,True,False,undefined,False,False,,instrumented,deepseek-v4-flash
P026,2015 Ukraine Electric Power Attack,T0823,Graphical User Interface,True,False,T0855,False,False,3,True,False,unknown-technique,False,False,,instrumented,deepseek-v4-flash
P027,2015 Ukraine Electric Power Attack,T0813,Denial of Control,False,False,T0857,False,True,1,True,False,unknown-technique,True,True,,instrumented,deepseek-v4-flash
P028,2015 Ukraine Electric Power Attack,T0846,Remote System Discovery,True,True,T0869,False,True,3,True,True,pass,False,False,,instrumented,deepseek-v4-flash
P029,2015 Ukraine Electric Power Attack,T1691.001,Command Message,True,True,T0854,False,False,1,True,False,unknown-technique,False,False,,instrumented,deepseek-v4-flash
P030,2015 Ukraine Electric Power Attack,T0827,Loss of Control,False,False,T0826,False,False,0,True,False,undefined,False,False,,instrumented,deepseek-v4-flash
P031,2015 Ukraine Electric Power Attack,T1691.002,Reporting Message,True,True,T0854,False,False,1,True,False,unknown-technique,False,False,,instrumented,deepseek-v4-flash
P032,2015 Ukraine Electric Power Attack,T0826,Loss of Availability,False,False,T0826,True,False,2,True,False,undefined,False,False,,instrumented,deepseek-v4-flash
P033,Maroochy Water Breach,T1692.002,Reporting Message,True,False,T0855,False,False,2,True,False,unknown-technique,False,False,,instrumented,deepseek-v4-flash
P034,Maroochy Water Breach,T0822,External Remote Services,True,False,T0854,False,False,2,True,False,unknown-technique,False,False,,instrumented,deepseek-v4-flash
P035,Maroochy Water Breach,T0838,Modify Alarm Settings,True,False,T0882,False,False,2,True,False,undefined,False,False,,instrumented,deepseek-v4-flash
