item,actor,gold_id,gold_name,gold_checkable,name_leak,claimed_id,attribution_correct,model_says_provable,n_cited,arm4_grounding_pass,arm5_capacity_pass,arm5_outcome,capacity_violation,missed_by_grounding,missing,condition,model
P001,FrostyGoop Incident,T0836,Modify Parameter,True,True,T889,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P002,FrostyGoop Incident,T1693.001,System Firmware,True,True,T0959,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P003,FrostyGoop Incident,T0829,Loss of View,False,False,T0959,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P004,FrostyGoop Incident,T0826,Loss of Availability,False,False,T889,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P005,Triton Safety Instrumented System Attack,T0830,Adversary-in-the-Middle,True,False,T0889,False,False,0,True,False,fail,False,False,Application Log Content; Device Alarm; Network Traffic Content; Software,instrumented,qwen3.8-27b
P006,Triton Safety Instrumented System Attack,T0807,Command-Line Interface,True,False,T0818,False,True,2,True,False,unknown-technique,True,True,,instrumented,qwen3.8-27b
P007,Triton Safety Instrumented System Attack,T0853,Scripting,True,False,T0815,False,False,0,True,False,undefined,False,False,,instrumented,qwen3.8-27b
P008,Triton Safety Instrumented System Attack,T0828,Loss of Productivity and Revenue,False,False,T889,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P009,Triton Safety Instrumented System Attack,T0843.003,Program Append,True,True,T0859,False,False,0,True,False,fail,False,False,Logon Session Creation; Logon Session Metadata; User Account Authentication,instrumented,qwen3.8-27b
P010,Triton Safety Instrumented System Attack,T0872,Indicator Removal on Host,True,False,T885,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P011,Triton Safety Instrumented System Attack,T0859,Valid Accounts,True,False,T0001,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
P012,Triton Safety Instrumented System Attack,T0867,Lateral Tool Transfer,True,False,T1204.002,False,False,0,True,False,unknown-technique,False,False,,instrumented,qwen3.8-27b
